Profile Name/ID,Video ID,Title,Author Channel,Action,Was commented,Comment,Date,Time,Tags,Rating
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,Tj0zFhHKEKw,14 MELHORES MARCAS PRA COMPRAR UM TIPO DE ROUPA (com Coloral) | MODA MASCULINA 2025,Edson Castro [Oficial],Watched,0,-,25-05-2025,13:04:21,"edson castro, edson castro mhm, mhm edson castro, moda, moda masculina 2025, moda 2025 masculina, moda 2025, moda masculina, moda para homens 2025, moda para homens, moda homens 2025, melhores marcas, melhor marca, a melhor marca, marcas de roupas masculinas, coloral, coloral macho moda, macho moda coloral, macho moda",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,0G50EI9lEqI,MINHA LASANHA FAVORITA!,Leonardo Abreu,Watched,0,-,25-05-2025,12:53:31,"lasanha, como fazer lasanha, massa de lasanha, lasanha massa fresca, a melhor lasanha, lasanha com molho branco, molho para lasanha, molho macarrao, melhor molho, melhor receita de, leo abreu, leonardo abreu, receitas de pai, mohamed",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,eljduo1uqHY,Cafe Vlog Mini Coffee Shop Truck Bar Dream Vintage Mobile Barista Kopi Small Business Relax Mood 4K,Tasty Inside,Watched,0,-,25-05-2025,12:54:15,"vídeo, compartilhamento, celular com câmera, videofone, gratuito, envio",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,CuMl55MXqRM,Os 10 MELHORES PERFUMES MASCULINOS do BOTICÁRIO da Atualidade - Pesquisa com 240 Homens em 2025,Homem Cheiroso | Perfumes Masculinos,Watched,0,-,25-05-2025,13:39:23,"PERFUMES, PERFUMES MASCULINOS, MELHORES PERFUMES MASCULINOS, FRAGRÂNCIAS MASCULINAS, melhores perfumes do boticário, melhores perfumes masculinos boticário, melhores perfumes boticário, perfumes masculinos boticário, zaad, zaad expedition, the blen bourbon, the blend cardamom, egeo bomb black, clash, o boticário, perfumes o boticário, malbec signature, malbec black, malbec ultra bleu, zaad santal",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,uQFwisQYn-I,PARMEGIANA DE RESTAURANTE x SAUDÁVEL,Leonardo Abreu,Watched,0,-,26-05-2025,20:48:51,"leonardo abreu, leo abreu, parmegiana, parmegiana saudável, receitas saudaveis, receitas fit, receita com macros, macros, renato cariani, maromba, como se faz, frango a parmegiana, frango frito saudavel, frango",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,XWMkBiM62K4,COSTELA PERFEITA PARA CEIA DE NATAL OU ANO NOVO!,Leonardo Abreu,Watched,0,-,26-05-2025,20:45:32,"leonardo abreu, leo abreu, costela, costela bovina, como fazer costela, costela bovina fácil, receita de costela, receita de costela bovina, receitas, receita fácil natal, receita de natal, ceia de natal, ceia de natal diferente, ceia de natal fácil, costela para ceia de natal, costela que desmancha, carne para ceia de natal, carne assada, como fazer carne assada, receita de carne assada, mastechef, marterchef 2024, mohindi",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,78aLmunG_40,5 PEÇAS DE ROUPAS MASCULINAS QUE TODO HOMEM DEVERIA TER (com Coloral) | MODA MASCULINA 2025,Edson Castro [Oficial],Watched,0,-,26-05-2025,20:49:05,"edson castro, edson castro mhm, mhm edson castro, macho moda, coloral, Coloral macho moda, roupas masculina, moda masculina, moda masculina 2025, moda 2025 masculina, moda 2025, moda para homens, roupas masculinas 2025, roupa para homens, macho moda coloral",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,UMfs7aUHhIk,Cafe Vlog Mini Coffee Shop Mobile Coffee Bar Kopi Small Business Idea Barista Workflow Relaxing Mood,Tasty Inside,Watched,0,-,26-05-2025,20:58:49,"vídeo, compartilhamento, celular com câmera, videofone, gratuito, envio",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,eZnRP1coHlg,Costela no Bafo - Costelada do Roberto Tradições na Bagagem #fyp #fy #comida  #receitas #churrasco,Pesca - Atividades Mateiras - Tradições da Roça,Watched,0,-,26-05-2025,21:14:03,"Comida, receita, fyp, fy, costela, receitas, churrasco, sitio, fazenda, viagem, caipira, carne",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,q_BcaDncdR8,As 7 Coisas INDISPENSÁVEIS na ROTINA de um HOMEM (feat. @edsoncastrooficial),machomoda,Watched,0,-,26-05-2025,21:06:07,"macho moda, coloral, moda masculina, estilo masculino, moda para homens, machomoda, rotina de homem, rotina masculina, dia a dia masculino, lifestyle masculino, coisas fundamentais pra todo homem fazer, coisas que todo homem precisa fazer, coisas que todo homem tem que fazer, como ter rotina, rotina fundamental masculina",-
